Service,Liquid,Q,H,Type,Stages,Qty,Min. T,T,Max. T,Pv,Density,Viscosity,Corrosive,Erosive,Hazardous,Flammable,Suspended Solids,Min. Ps,Max. Ps,Pd,NPSHA,NPSHR,BEP,Qmin,Efficiency,Speed,Power,Rated dia.,Forced Lubrication,Seal Plan,MAWP,Material,NACE,Inspection Class,Exp. Proof,Project,Tag,Vendor,Model,GA
HP Wet Flare K.O. Drum Pumps,Sour HC | Sour Oily Water,27,124.7,OH2,1,2,-41,30,51,0.99,1000,0.8,,,,,,9,11.9,12.1,2.8,2.1,24.9,3,30,2950,45,314,No,11 + 53B,40,S-8(LC2),No,Level 3,Ex d/e IIB T3,NGL 3100,P-3194-03-AS,Deep Blue,EAP 25-315-45-IA,GA\NGL-3100\P-3194-03-AS.pdf
Propylene Transfer Pumps,Propylene,15,120,OH2,1,1,-36,-36,-36,1.59,585,0.01,No,No,No,Yes,No,1.7,1.7,8.6,1.9,1.3,18.5,6,20,2950,22,312,No,11 + 53B,40,A-8,No,Level 2,Ex d/e,Kangan Olefin,20-P-1501,CW Hydro,HB 50x40-315H,GA\Kangan-Olefin\20-P-1501.pdf
C4+ Feed Pumps,C4+ Cut + Mercaptans,44.4,497.3,BB5,6,2,55,55,55,5.5,599,0.17,Yes,Yes,Yes,Yes,No,0.9,5.86,2.1,2.6,1.7,51,15,55,2960,75,263,No,11 + 53B,50,S-5(LCB),No,Level 3,Ex d IIC T3 ,Ilam SRU,30-P-3001-AB,Roodhart,RCBB5-80-50-806,GA\Ilam-SRU\30-P-3001-AB.pdf
Lean Solution Pump,Lean Amine Solution,654,118,OH2,1,4,75,75,75,1.55,993,0.96,Yes,Yes,Yes,,No,1.36,4.69,12.86,7.24,3,790,165,72,1450,400,610,No,11 + 53B,40,A-8,Yes,,Ex n IIB T3,SP 20-21,108-P-505-605-AB,Deep Blue,APIFLO-P 250K6-630 ,
C5+ Feed Pumps,C5+ Cut + Mercaptans,83.3,474.3,BB5,5,2,52,52,52,3.9,688,0.32,No,No,Yes,Yes,No,-0.1,0.5,2.2,2.78,1.7,100,25,65,2960,132,252,No,11 + 53B,40,S-5(LCB),No,Level 3,Ex d IIC T3 ,Ilam SRU,30-P-4001-AB,Roodhart,RCBB5-100-80-806,GA\Ilam-SRU\30-P-4001-AB.pdf
Potable and Service Water Pump,Potable Water,50,117.5,OH2,1,2,33,33,50,0.05,995,0.75,No,No,No,,No,-0.02,0.74,11.44,8.51,1.5,62,14,44,2950,45,315,No,11 + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,128-P-101-AB,Deep Blue,ISOFLO 80-50-315A ,GA\SP-20-21\128-P-101.pdf
Fresh Caustic Soda (40 Wt%) Transfer Pump,Caustic Soda,20,115,OH2,1,1,30,50,50,0.02,1600,48,Yes,No,Yes,,No,0.1,1.15,18.2,4.68,0.9,38,,35,2950,55,305,No,11 + 62,40,D-1,No,,Ex n IIB T3,SP 20-21,146-P-105,IIP,OHC 40-315 ,GA\SP-20-21\146-P-105.pdf
Lp Flare K.O. Drum Pumps,Sour HC | Sour Oily Water,20,113.4,OH2,1,2,-1,30,100,0.99,1000,0.8,,,,,,0.02,1.1,6.36,3.1,2,19,3,27.5,2950,30,290,No,11 + 53B,40,S-8,No,Level 3,Ex d/e IIB T3 ,NGL 3100,P-3194-01-AS,Deep Blue,EAP 25-315-45-I,
C5+ Pumps,C5+,111.3,98.9,VS6,1,2,-14,42,42,0.89,751,0.9,Yes,Yes,Yes,Yes,No,0.18,4.01,3.35,,2.5,110,30,61.5,1480,45,235,No,13 + 53B,40,S-5,No,Level 3,Ex d IIB T3 ,Ilam SRU,30-P-5002-AB,Roodhart,RCVS6-200-150-207,GA\Ilam-SRU\30-P-5002-AB.pdf
C3+ Pumps,C3+,116.6,113.1,OH2,1,2,-14,42,42,8.26,610,0.22,Yes,Yes,Yes,Yes,No,0.19,3.97,3.35,10,1.81,110,28.8,63.3,2960,45,298,No,11 + 53B,40,S-5(LCB),No,Level 3,Ex d IIB T3 ,Ilam SRU,30-P-5001-AB,Roodhart,RCOH2-80-315,GA\Ilam-SRU\30-P-5001-AB.pdf
