Service,Liquid,Q,H,Type,Stages,Qty,Min. T,T,Max. T,Pv,Density,Viscosity,Corrosive,Erosive,Hazardous,Flammable,Suspended Solids,Min. Ps,Max. Ps,Pd,NPSHA,NPSHR,BEP,Qmin,Efficiency,Speed,Power,Rated dia.,Forced Lubrication,Seal Plan,MAWP,Material,NACE,Inspection Class,Exp. Proof,Project,Tag,Vendor,Model,GA
Butane Water Recirculating Pumps,Water,2.9,28.4,OH2,1,4,40,40,45,0.1,988,0.69,Yes,No,No,,No,11,24,13.8,8,3,3.4,0.8,19,2950,3,196,No,11 + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,115-P-111-211-AB,Deep Blue,APIFLO-LF 32-20-160 ,GA\SP-20-21\115-P-111-211.pdf
Produced Water Pumps,Salt Water,60,28,OH2,1,6,15,48,63,1.3,1134,1.7,Yes,Yes,Yes,,Yes,-0.04,1.1,4.7,2.7,2.1,75,9,64,2930,15,151,No,53A,,D-2,Yes,,Ex d IIB T4,Arvandan,0200-PA-001-2-3-AB,Deep Blue,APIFLO-P 80K2-160,GA\Arvandan\0200-PA-001-2-3-AB.pdf
Water Recycle Pump ,Water ,7,27,OH2,1,2,89,89,89,0.66,966,0.31,No,,,,Yes,0.86,0.86,3.42,2.8,1,,1,40,2900,4,150,No,11 + 61,40,S-6,,,Ex n IIB T3,Marun,10-P-2376-AB,KSB,RPH 25-180 ,GA\Marun\10-P-2376-AB.pdf
Fuel Oil Transfer Pump,Fuel Oil,4.3,26.6,OH2,1,1,51,51,51,0,880,10,,,,,,0,3.6,6.6,10.3,3,4.8,1.6,24,2950,4,146,No,11 + 61,40,S-5,No,Level 2,Ex d/e IIB T3 ,NGL 3100,P-3184-02,Deep Blue,ESH 40-25-160-LB,GA\NGL-3100\P-3184-02.pdf
Sea Water Booster Pumps,Sea Water,2500,93,BB1,1,3,13,13,35,0.06,1023,1.05,Yes,No,No,,No,0.05,1.28,9.39,8.9,7.9,2900,600,80,1450,1000,534,No,11 + 61,40,D-1,No,,Ex n IIB T3,SP 20-21,125-P-102-ABC,Deep Blue,SPLITFLO-EDS 400-570S ,GA\SP-20-21\125-P-102.pdf
Diesel Pumps,Diesel Fuel Oil,9.9,26.6,OH2,1,2,48,48,48,0,880,10,No,No,No,,No,0.9,1.5,3.2,9.3,1.2,12.9,1.9,33.3,2900,4,153,No,11 + 61,42,S-6,,,Ex n IIB T3  ,SP 09-10,131-P-101-AB,Flowserve,1HPX9A,GA\SP-09-10\131-P-101-AB.pdf
Fuel Oil Unloading Pump,Fuel Oil,20,26.1,OH2,1,1,48,48,48,0,860,4.7,No,No,No,Yes,No,-0.03,1.11,45.98,10.26,0.7,23,4.7,46,2950,4,155,No,11,48,S-1,No,Level 2,Ex e IIB T3 ,Kangan Utility & Offsite,88-P-3002,Sulzer,2x3x7.5A-1-OHH,GA\Kangan-Utility-&-Offsite\88-P-3002.pdf
Caustic Soda Recirculation Pumps,Caustic Solution,148.6,25.3,OH2,1,3,50,50,50,18.9,1100,1,Yes,No,No,No,No,19.4,19.4,22,4.6,2.3,183,45,70,1475,18.5,273,No,11 + 62,40,S-5,No,Level 2,Ex d/e IIB T3 ,Kangan Olefin,20-P-1302-ABC,CW Hydro,HB 150x100-315B,GA\Kangan-Olefin\20-P-1302-ABC.pdf
Cooling Water Circulating Pumps,Desalinated Water,520,54.7,BB1,1,2,2,40,40,0.07,1000,0.7,Yes,No,No,,No,5.61,7.15,10.94,66.2,5,650,170,66,1450,160,400,No,11 + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,132-P-101-AB,Deep Blue,SPLITFLO-EDS 200-440G ,GA\SP-20-21\132-P-101.pdf
Water Circulation Pump ,LP Steam Condensate ,431,25,OH2,1,2,60,60,60,0.2,984,0.46,No,,,,No,0.06,0.06,2.47,9,2.2,,70,78,960,45,423,No,11 + 61,40,S-6,,,Ex n IIB T3,Marun,10-P-9672-AB,KSB,RPH 250-501 ,GA\Marun\10-P-9672-AB.pdf
Water Return Pumps,Water Return,110,23,OH2,1,2,78,78,78,2.2,973,20,Yes,Yes,No,No,Yes,0.2,28.3,16.8,5.7,2.03,102,25,55,1475,18.5,290,No,32 + 61,40,S-8,No,Level 2,Ex d/e IIB T3 ,Kangan Olefin,20-P-1205-AB,CW Hydro,HB 150x100-315A,GA\Kangan-Olefin\20-P-1205-AB.pdf
First & Second Sour Water Stripper Bottom Pump,Stripped Water,55.6,23,OH2,1,4,131,131,131,2.8,934,0.21,Yes,No,Yes,,No,2.15,4.57,4.26,6.79,1,56,10,61,1475,7.5,285,No,11 + 53A + 61,40,D-1,Yes,,Ex n IIB T3,SP 20-21,109-P-103-105-AB,IIP,OHC-80-315 ,
First Sour Water Stripper Bottom Pumps,Stripped Water,32,22,OH2,1,4,131,131,131,2.8,934,0.21,Yes,No,Yes,,No,3.1,5.6,5.1,2.5,1.2,30.4,3.1,59.5,1440,5.2,272,No,11 + 53,45,D-1,,,Ex n IIA T3,SP 09-10,109-P-103-105-AB,KSB,RPH / 50-280,GA\SP-09-10\109-P-103-105-AB.pdf
Light Oil Pumps,Light Oil,8,21,OH2,1,2,36,36,36,1.2,920,0.95,No,No,Yes,Yes,No,0,0.59,38.8,4.5,1.68,25,6,25,2870,2.2,144,No,11 + 53B,40,S-5,No,Level 2,Ex d/e IIC T3 ,Kangan Olefin,20-P-1301-AB,CW Hydro,HB 50x40-160H,GA\Kangan-Olefin\20-P-1301-AB.pdf
Condesnate Pump,HC,6.6,21,OH2,1,2,-1,35,82,1.96,696,0.29,,,,,,-1,3.66,7.67,3.2,1.4,7.6,1.3,24.5,2950,4,133,No,11 + 52,40,S-6,No,Level 2,Ex d/e IIB T3 ,NGL 3100,P-3112-04-AS,Deep Blue,EAP 25K1-200A,GA\NGL-3100\P-3112-04-AS.pdf
MP Flare Pumps - Phase 9&10,Wet Sour HC/Sour Oily Water,20,20.4,OH2,1,4,20,21,90,0.025,1000,1,Yes,No,Yes,,No,1.18,5.01,4.35,2.1,0.8,25.6,7.4,33.2,1475,5.5,247,No,11 + 53,42,S-8(LCB),,,Ex n IIB T3  ,SP 09-10,140-P-103-203-AB,Flowserve,2HPX13A ,GA\SP-09-10\140-P-103-203-AB.pdf
1st Jacket Water Pump,Internal Cooling Water,220,20,OH2,1,2,40,40,90,0.72,990,0.66,No,No,No,No,No,1.04,1.04,2.94,13.5,1.2,270,60,77,1479,22,261,No,32,40,S-6,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-204,IIP,IOH2-200-315,GA\Kangan-HDPE\40-P-204.pdf
2nd Jacket Water Pump,Internal Cooling Water,220,20,OH2,1,1,40,40,90,0.72,990,0.66,No,No,No,No,No,1.04,1.04,2.94,13.5,1.2,270,60,77,1479,22,261,No,32,40,S-6,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-224,IIP,IOH2-200-315,GA\Kangan-HDPE\40-P-224.pdf
Stripper Bottom Pump,Slurry and Hexane,485,20,OH2,1,2,120,120,120,3.85,588,10,No,No,No,Yes,No,3.3,3.3,4.45,7.6,3,480,160,80,1487,30,289,No,32 + 52,40,S-5,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-705-AB,IIP,IOH2-250-315,GA\Kangan-HDPE\40-P-705-AB.pdf
Washed Hexane Pump,Waste Hexane,5,20,OH2,1,2,48,48,48,0.5,680,0.37,No,No,No,Yes,No,0.31,0.31,1.7,11.5,0.8,5.3,2,26,2881,3,140,No,11 + 52,40,S-5,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-718,IIP,IOH2-25-160S1,GA\Kangan-HDPE\40-P-718.pdf
Hexane Transfer Pump,Waste Hexane,3.5,20,OH2,1,2,48,48,48,0.5,665,0.35,No,No,No,Yes,No,0.06,0.06,1.37,8.44,0.8,5,2,20.5,2852,3,137,No,11 + 52,40,S-5,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-752,IIP,IOH2-25-160S1,GA\Kangan-HDPE\40-P-752.pdf
Cooling Water Pump,Internal Cooling Water,120,20,OH2,1,2,43,43,48,0.11,991,0.63,No,No,No,No,No,3.07,3.07,5.01,40.7,3.2,130,50,77.5,2943,11,142,No,2,40,S-5,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-761-AB,IIP,IOH2-100-160,GA\Kangan-HDPE\40-P-761-AB.pdf
Fresh Caustic Loading Pump ,Caustic 50 wt-% ,22,20,OH2,1,1,45,45,45,0.02,1521,4.27,No,,,,No,0.1,0.1,3.08,7.3,4.9,,3,52,2900,5.5,139,No,11 + 62,40,S-8,,,Ex n IIB T3,Marun,10-P-2674,KSB,RPH 40-181 ,GA\Marun\10-P-2674.pdf
Utilities and Offsite Drain Pump,Hydrocarbon,7.5,66.2,VS1,3,1,48,48,90,1.01,600,0.4,Yes,Yes,Yes,,No,0.1,3.6,2.2,1.26,0.6,9.3,2.5,13.5,2950,15,176,No,13 + 53 + 61,40,A-8,Yes,,Ex n IIB T3,SP 20-21,141-P-101,Deep Blue,APIFLO-VB 8.5-25X3-V ,GA\SP-20-21\141-P-101.pdf
Utilities and Offsite Drain Pump,Water,7.5,66.2,VS1,3,1,48,48,90,1.01,1000,1,Yes,Yes,Yes,,No,0.1,3.7,3.6,1.26,0.6,9.3,2.5,13.5,2950,15,176,No,13 + 53 + 61,40,A-8,Yes,,Ex n IIB T3,SP 20-21,141-P-101,Deep Blue,APIFLO-VB 8.5-25X3-V ,GA\SP-20-21\141-P-101.pdf
HC Liquid Burner Feed Pump,HC Liquid and Water,30,341,OH6,1,1,48,48,90,1.5,1070,5,Yes,Yes,Yes,,,0.2,4.24,36.6,3.7,3,30,7.5,42.5,8527,90,150,Yes,11 + 53,50,A-8,Yes,,Ex e nA IIB T3,SP 20-21,142-P-101,Deep Blue,EGS / L1-30/341,GA\SP-20-21\142-P-101.pdf
Methanol Pump ,Methanol ,22,20,OH2,1,1,45,45,45,0.45,767,0.42,No,,,,No,0.15,0.15,1.65,8.6,4.5,,2.5,52,2900,4,139,No,11 + 61,40,S-1,,,Ex n IIB T3,Marun,10-P-6372,KSB,RPH 40-181 ,GA\Marun\10-P-6372.pdf
Hydrocorbons Recovery Pump,Liquid Hydrocarbon,11,19,OH2,1,1,65,65,65,0.1,750,0.61,Yes ,No,Yes,,No,0.42,4,1.8,20,1.7,13,1.5,40,2950,2.2,119,No,11 + 53B,40,S-8,Yes,,Ex de IIB T3 ,Bushehr Gas Sweetening,01-120-P-6,DeepBlue,EAP 32K1-160,GA\Bushehr-Gas-Sweetening\01-120-P-6.pdf
Diesel Oil Unloading Pump,Diesel Oil,40,18,OH2,1,1,48,48,48,0.01,850,3.5,No,No,Yes,,,-0.15,0.14,1.4,10,1.4,50,7,59,1440,5.5,235,No,11 + 52,40,S-5,No,,Ex d IIB T4,Arvandan,0430-PA-001,Deep Blue,APIFLO-P 80K2-250,GA\Arvandan\0430-PA-001.pdf
Off-Spec / Water Condensate Recycle Pump,Off Spec HC Condensate,38,549,VS6,6,2,37,48,70,,720,1,Yes,No,Yes,,No,0.04,1.1,34.5,3.01,2,38,9.5,43,2950,150,258,No,13 + 53 + 61,80,S-6,Yes,,Ex n IIB T3,SP 20-21,143-P-102-102-S,Deep Blue,APIFLO-VB 38-100X6 ,GA\SP-20-21\143-P-102.pdf
Off-Spec / Water Condensate Recycle Pump,Water,38,549,VS6,6,2,37,48,70,,1000,1,Yes,No,Yes,,No,0.1,1.61,53.93,3.01,2,38,9.5,43,2950,150,258,No,13 + 53 + 61,80,S-6,Yes,,Ex n IIB T3,SP 20-21,143-P-102-102-S,Deep Blue,APIFLO-VB 38-100X6 ,GA\SP-20-21\143-P-102.pdf
Sump Drum Pump,Hydrocarbon Condensates,15,111.7,VS1,4,1,48,48,48,1,1000,1,Yes,Yes,,,,0,3.6,10.3,1.5,0.85,18,3,32,2950,15,164,No,13 + 53 + 61,40,A-7,No,,Ex n IIB T3,SP 20-21,143-P-104,Deep Blue,APIFLO-VB 20-35X4-V ,GA\SP-20-21\143-P-104.pdf
Propane Mobile Pump Package,Propane,11,291,OH6,1,1,-45,60,60,22,580,0.2,No,No,No,,,0.2,28.3,33,3.1,2.3,11,2.5,27,9118,30,128,Yes,11 + 52,50,A-8,No,,Ex e nA IIB T3,SP 20-21,145-P-102,Deep Blue,EGS / L2-11/291,GA\SP-20-21\145-P-102.pdf
Sour Water Stripper Bottom Pumps ,Stripped Water,18.7,16,OH2,1,2,131,131,131,2.8,921,0.21,,,,,,7.64,11.3,13.54,2.57,1,23,3,44,1450,4,217,No,53B,40,A-8,Yes,Level 3,Safe Area,NGL 3100,P-3185-02-AS,Deep Blue,EAP 50-250-35-IA,GA\NGL-3100\P-3185-02-AS.pdf
Bulk Caustic Soda Unloading Pumps,Caustic Soda 45% wt,30,15.9,OH2,1,2,15,48,48,0.03,1430,20,Yes,Yes,Yes,No,No,15.3,24,35.3,4.33,0.6,39.5,10.2,50,1450,5.5,227,No,11 + 61,49,A-8,No,Level 2,Ex e IIB T3 ,Kangan Utility & Offsite,87-P-7001-AB,Sulzer,3x4x9B-1-OHH,GA\Kangan-Utility-&-Offsite\87-P-7001-AB.pdf
Diesel Oil Unloading Pump,Diesel Oil,5,15,OH2,1,1,48,48,48,,830,5,No,No,No,No,No,-0.23,-0.23,0.99,9.34,1,4.6,2,18.4,2881,3,129,No,11,40,A-7,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-941,IIP,IOH2-25-160S1,GA\Kangan-HDPE\40-P-941.pdf
Raw Gas Condensate Pump ,Condensate ,24.5,15,OH2,1,2,41,41,41,1.4,997,0.71,No,,,,No,0.61,0.61,2.07,2.2,1,,3.5,60,1450,4,222,No,11 + 52,40,S-1,,,Ex n IIB T3,Marun,10-P-2571-AB,KSB,RPH 50-230 ,GA\Marun\10-P-2571-AB.pdf
Bulk Sulphuric Acid Unloading Pumps,Sulfuric Acid 98% wt,30,12.4,OH2,1,2,48,48,48,0.02,1841,11.35,Yes,Yes,Yes,No,No,27.2,45.4,36,3.1,0.6,34.4,9.2,57.8,1450,5.5,203,No,11 + 61,50,A-8,No,Level 2,Safe Area,Kangan Utility & Offsite,87-P-7003-AB-,Sulzer,3x4x9B-1-OHH,GA\Kangan-Utility-&-Offsite\87-P-7003-AB.pdf
Amine Booster Pump,Lean Amine,145,11.8,OH2,1,4,80,80,80,0.63,1032,1.1,Yes,Yes,Yes,,No,1.9,6.86,3.1,14,2.2,153,44.5,66.9,985,11,306,No,11 + 53 + 61,42,A-8,,,Ex n IIB T3  ,SP 09-10,116-P-122-222-AB,Flowserve,6HPX12C,GA\SP-09-10\116-P-122-222-AB.pdf
Amine Booster Pump,Lean Amine,145,11.8,OH2,1,4,80,80,80,0.63,1032,1.1,Yes,Yes,Yes,,No,0.9,5.86,2.1,2,1.5,155,16,77,1475,7.5,208,No,11 + 53 + 61,40,A-8,Yes,,Ex n IIB T3,SP 20-21,116-P-122-222-AB,IIP,OHC 150-200 ,GA\SP-20-21\116-P-122.pdf
Fuel Oil Loading Pump,Fuel Oil,12.7,9.4,OH2,1,1,51,51,51,0,880,10,,,,,,0.11,1.18,35.56,8.5,1.3,13.1,2,36.7,1450,4,180,No,11 + 61,40,S-5,No,Level 2,Ex d/e IIB T3 ,NGL 3100,P-3184-01,Deep Blue,EAP 40K1-200,GA\NGL-3100\P-3184-01.pdf
Fresh Caustic Soda (7%) Transfer Pump,Caustic Soda- 7% (40%),40,313,OH6,1,1,30,50,50,0.15,1420,23,Yes,No,Yes,,,-0.01,0.61,43.59,5.06,4.46,40,10,52,10273,132,121,Yes,11 + 62,50,A-8,No,,Ex e nA IIB T3,SP 20-21,146-P-107,Deep Blue,EGS / L1-40/313,GA\SP-20-21\146-P-107.pdf
Fresh Caustic Soda (7%) Transfer Pump,Caustic Soda- 7% (40%),40,313,OH6,1,1,30,50,50,0.15,1420,23,Yes,No,Yes,,,-0.01,0.79,43.59,5.06,4.46,40,10,52,10273,132,121,Yes,11 + 62,50,A-8,No,,Ex e nA IIB T3,SP 20-21,146-P-107,Deep Blue,EGS / L1-40/313,GA\SP-20-21\146-P-107.pdf
Steam Condensate Pump,Water,47,,OH2,1,8,148,148,148,4.5,919,0.19,No,No,No,,No,5,9.8,10.7,4.9,2.4,56.5,6.4,63,2940,18.5,222,No,23 + 61,45,S-8,,,Ex n IIA T3,SP 09-10,101-P-104-204-304-404-AB,KSB,RPH 50-230,GA\SP-09-10\101-P-104-204-304-404-AB.pdf
